"name"	"type"	"publisher"	"licenses"	"guessedLicenses"	"version"	"packages"	"repository"
"@angular/common"	"production"	"angular"	"MIT"		"4.2.4"	"@kaltura-ng/kaltura-common, @kaltura-ng/kaltura-primeng-ui, @kaltura-ng/kaltura-client, @kaltura-ng/kaltura-ui"	"https://github.com/angular/angular"
"@angular/compiler"	"production"	"angular"	"MIT"		"4.2.4"	"@kaltura-ng/kaltura-common, @kaltura-ng/kaltura-primeng-ui, @kaltura-ng/kaltura-client, @kaltura-ng/kaltura-ui"	"https://github.com/angular/angular"
"@angular/compiler-cli"	"development"		"MIT"		"4.2.4"	"@kaltura-ng/kaltura-common, @kaltura-ng/kaltura-primeng-ui, @kaltura-ng/kaltura-client, @kaltura-ng/kaltura-ui"	"https://github.com/angular/angular"
"@angular/core"	"production"	"angular"	"MIT"		"4.2.4"	"@kaltura-ng/kaltura-common, @kaltura-ng/kaltura-primeng-ui, @kaltura-ng/kaltura-client, @kaltura-ng/kaltura-ui"	"https://github.com/angular/angular"
"@angular/forms"	"production"	"angular"	"MIT"		"4.2.4"	"@kaltura-ng/kaltura-primeng-ui, @kaltura-ng/kaltura-ui"	"https://github.com/angular/angular"
"@angular/http"	"production"	"angular"	"MIT"		"4.2.4"	"@kaltura-ng/kaltura-common, @kaltura-ng/kaltura-client"	"https://github.com/angular/angular"
"@angular/platform-browser"	"development"	"angular"	"MIT"		"4.2.4"	"@kaltura-ng/kaltura-common, @kaltura-ng/kaltura-primeng-ui, @kaltura-ng/kaltura-client, @kaltura-ng/kaltura-ui"	"https://github.com/angular/angular"
"@angular/platform-browser-dynamic"	"development"	"angular"	"MIT"		"4.2.4"	"@kaltura-ng/kaltura-common, @kaltura-ng/kaltura-primeng-ui, @kaltura-ng/kaltura-client, @kaltura-ng/kaltura-ui"	"https://github.com/angular/angular"
"@angular/router"	"production"	"angular"	"MIT"		"4.2.4"	"@kaltura-ng/kaltura-common"	"https://github.com/angular/angular"
"@types/core-js"	"development"		"MIT"		"0.9.41"	"@kaltura-ng/kaltura-common, @kaltura-ng/kaltura-primeng-ui, @kaltura-ng/kaltura-client, @kaltura-ng/kaltura-ui"	"https://wwwhub.com/DefinitelyTyped/DefinitelyTyped"
"@types/jquery"	"development"		"MIT"		"2.0.47"	"@kaltura-ng/kaltura-common, @kaltura-ng/kaltura-primeng-ui, @kaltura-ng/kaltura-client, @kaltura-ng/kaltura-ui"	"https://wwwhub.com/DefinitelyTyped/DefinitelyTyped"
"@types/ramda"	"development"	"Erwin Poeze"	"MIT"		"0.0.3"	"@kaltura-ng/kaltura-common, @kaltura-ng/kaltura-primeng-ui, @kaltura-ng/kaltura-client, @kaltura-ng/kaltura-ui"	"https://wwwhub.com/DefinitelyTyped/DefinitelyTyped"
"del"	"development"	"Sindre Sorhus"	"MIT"		"2.2.2"	"@kaltura-ng/kaltura-common, @kaltura-ng/kaltura-primeng-ui, @kaltura-ng/kaltura-client, @kaltura-ng/kaltura-ui"	"https://github.com/sindresorhus/del"
"glob"	"development"	"Isaac Z. Schlueter"	"ISC"		"7.1.2"	"kaltura-ng, @kaltura-ng/kaltura-common, @kaltura-ng/kaltura-primeng-ui, @kaltura-ng/kaltura-client, @kaltura-ng/kaltura-ui"	"https://github.com/isaacs/node-glob"
"glob"	"development"	"Isaac Z. Schlueter"	"ISC"		"4.5.3"	"@kaltura-ng/kaltura-common, @kaltura-ng/kaltura-primeng-ui, @kaltura-ng/kaltura-client, @kaltura-ng/kaltura-ui"	"https://github.com/isaacs/node-glob"
"glob"	"development"	"Isaac Z. Schlueter"	"ISC"		"5.0.15"	"@kaltura-ng/kaltura-common, @kaltura-ng/kaltura-primeng-ui, @kaltura-ng/kaltura-client, @kaltura-ng/kaltura-ui"	"https://github.com/isaacs/node-glob"
"glob"	"development"	"Isaac Z. Schlueter"	"unknown"	"BSD*"	"3.1.21"	"@kaltura-ng/kaltura-common, @kaltura-ng/kaltura-primeng-ui, @kaltura-ng/kaltura-client, @kaltura-ng/kaltura-ui"	"https://github.com/isaacs/node-glob"
"gulp"	"development"	"Fractal"	"MIT"		"3.9.1"	"@kaltura-ng/kaltura-common, @kaltura-ng/kaltura-primeng-ui, @kaltura-ng/kaltura-client, @kaltura-ng/kaltura-ui"	"https://github.com/gulpjs/gulp"
"gulp-add-src"	"development"	"Uri Shaked"	"MIT"		"0.2.0"	"@kaltura-ng/kaltura-common, @kaltura-ng/kaltura-primeng-ui, @kaltura-ng/kaltura-client, @kaltura-ng/kaltura-ui"	"https://github.com/urish/gulp-add-src"
"gulp-json-editor"	"development"	"Kazuhiro Nakae"	"MIT"		"2.2.1"	"@kaltura-ng/kaltura-common, @kaltura-ng/kaltura-primeng-ui, @kaltura-ng/kaltura-client, @kaltura-ng/kaltura-ui"	"https://github.com/morou/gulp-json-editor"
"gulp-load-plugins"	"development"	"Jack Franklin"	"MIT"		"1.5.0"	"@kaltura-ng/kaltura-common, @kaltura-ng/kaltura-primeng-ui, @kaltura-ng/kaltura-client, @kaltura-ng/kaltura-ui"	"https://github.com/jackfranklin/gulp-load-plugins"
"gulp-ngc"	"development"	"Igor Onyshchenko"	"MIT"		"0.3.1"	"@kaltura-ng/kaltura-client"	"https://github.com/jolly-roger/gulp-ngc"
"gulp-ngc"	"development"	"Igor Onyshchenko"	"MIT"		"0.3.2"	"@kaltura-ng/kaltura-common, @kaltura-ng/kaltura-primeng-ui, @kaltura-ng/kaltura-ui"	"https://github.com/jolly-roger/gulp-ngc"
"gulp-sass"	"development"	"David Manning"	"MIT"		"3.1.0"	"@kaltura-ng/kaltura-common, @kaltura-ng/kaltura-primeng-ui, @kaltura-ng/kaltura-client, @kaltura-ng/kaltura-ui"	"https://github.com/dlmanning/gulp-sass"
"gulp-sourcemaps"	"development"	"Florian Reiterer"	"ISC"		"1.6.0"	"@kaltura-ng/kaltura-common, @kaltura-ng/kaltura-primeng-ui, @kaltura-ng/kaltura-client, @kaltura-ng/kaltura-ui"	"https://github.com/floridoo/gulp-sourcemaps"
"gulp-sourcemaps"	"development"	"Florian Reiterer"	"ISC"		"1.12.0"	"@kaltura-ng/kaltura-common, @kaltura-ng/kaltura-primeng-ui, @kaltura-ng/kaltura-client, @kaltura-ng/kaltura-ui"	"https://github.com/floridoo/gulp-sourcemaps"
"gulp-tslint"	"development"	"Panu Horsmalahti"	"MIT"		"7.1.0"	"@kaltura-ng/kaltura-common, @kaltura-ng/kaltura-primeng-ui, @kaltura-ng/kaltura-client, @kaltura-ng/kaltura-ui"	"https://github.com/panuhorsmalahti/gulp-tslint"
"gulp-typescript"	"development"	"Ivo Gabe de Wolff"	"MIT"		"3.1.7"	"@kaltura-ng/kaltura-common, @kaltura-ng/kaltura-primeng-ui, @kaltura-ng/kaltura-client, @kaltura-ng/kaltura-ui"	"https://github.com/ivogabe/gulp-typescript"
"gulp-util"	"development"	"Fractal"	"MIT"		"3.0.8"	"@kaltura-ng/kaltura-common, @kaltura-ng/kaltura-primeng-ui, @kaltura-ng/kaltura-client, @kaltura-ng/kaltura-ui"	"https://github.com/gulpjs/gulp-util"
"jquery"	"production"	"jQuery Foundation and other contributors"	"MIT"		"3.1.1"	"@kaltura-ng/kaltura-primeng-ui, @kaltura-ng/kaltura-ui"	"https://github.com/jquery/jquery"
"lerna"	"development"	"Sebastian McKenzie"	"MIT"		"0.0.2"	"kaltura-ng"	"https://github.com/lerna/lerna"
"lerna"	"development"	"Sebastian McKenzie"	"MIT"		"2.0.0-rc.5"	"@kaltura-ng/kaltura-common, @kaltura-ng/kaltura-primeng-ui, @kaltura-ng/kaltura-client, @kaltura-ng/kaltura-ui"	"https://github.com/lerna/lerna"
"merge2"	"development"		"unknown"	"MIT*"	"1.0.3"	"@kaltura-ng/kaltura-common, @kaltura-ng/kaltura-primeng-ui, @kaltura-ng/kaltura-client, @kaltura-ng/kaltura-ui"	"https://github.com/teambition/merge2"
"moment"	"production"	"Iskren Ivov Chernev"	"MIT"		"2.18.1"	"kaltura-ng, @kaltura-ng/kaltura-common, @kaltura-ng/kaltura-primeng-ui, @kaltura-ng/kaltura-client, @kaltura-ng/kaltura-ui"	"https://github.com/moment/moment"
"ng2-translate"	"production"	"Olivier Combe"	"MIT"		"5.0.0"	"@kaltura-ng/kaltura-common"	"https://github.com/ocombe/ng2-translate"
"node-sass"	"development"	"Andrew Nesbitt"	"MIT"		"4.5.3"	"@kaltura-ng/kaltura-common, @kaltura-ng/kaltura-primeng-ui, @kaltura-ng/kaltura-client, @kaltura-ng/kaltura-ui"	"https://github.com/sass/node-sass"
"primeng"	"production"		"MIT"		"4.0.3"	"@kaltura-ng/kaltura-primeng-ui"	"https://github.com/primefaces/primeng"
"ramda"	"production"	"Scott Sauyet"	"MIT"		"0.22.1"	"@kaltura-ng/kaltura-common, @kaltura-ng/kaltura-primeng-ui, @kaltura-ng/kaltura-ui"	"https://github.com/ramda/ramda"
"rimraf"	"development"	"Isaac Z. Schlueter"	"ISC"		"2.6.1"	"kaltura-ng, @kaltura-ng/kaltura-common, @kaltura-ng/kaltura-primeng-ui, @kaltura-ng/kaltura-client, @kaltura-ng/kaltura-ui"	"https://github.com/isaacs/rimraf"
"run-sequence"	"development"	"Phil DeJarnett"	"MIT"		"1.2.2"	"@kaltura-ng/kaltura-common, @kaltura-ng/kaltura-primeng-ui, @kaltura-ng/kaltura-client, @kaltura-ng/kaltura-ui"	"https://github.com/OverZealous/run-sequence"
"rxjs"	"production"	"Ben Lesh"	"Apache-2.0"		"5.1.1"	"@kaltura-ng/kaltura-common, @kaltura-ng/kaltura-primeng-ui, @kaltura-ng/kaltura-ui"	"https://github.com/ReactiveX/RxJS"
"rxjs"	"production"	"Ben Lesh"	"Apache-2.0"		"5.4.1"	"@kaltura-ng/kaltura-client"	"https://github.com/ReactiveX/RxJS"
"through2"	"development"	"Rod Vagg"	"MIT"		"0.6.5"	"@kaltura-ng/kaltura-common, @kaltura-ng/kaltura-primeng-ui, @kaltura-ng/kaltura-client, @kaltura-ng/kaltura-ui"	"https://github.com/rvagg/through2"
"through2"	"development"	"Rod Vagg"	"MIT"		"0.5.1"	"@kaltura-ng/kaltura-common, @kaltura-ng/kaltura-primeng-ui, @kaltura-ng/kaltura-client, @kaltura-ng/kaltura-ui"	"https://github.com/rvagg/through2"
"through2"	"development"	"Rod Vagg"	"MIT"		"0.4.2"	"@kaltura-ng/kaltura-common, @kaltura-ng/kaltura-primeng-ui, @kaltura-ng/kaltura-client, @kaltura-ng/kaltura-ui"	"https://github.com/rvagg/through2"
"through2"	"development"	"Rod Vagg"	"MIT"		"2.0.3"	"kaltura-ng, @kaltura-ng/kaltura-common, @kaltura-ng/kaltura-primeng-ui, @kaltura-ng/kaltura-client, @kaltura-ng/kaltura-ui"	"https://github.com/rvagg/through2"
"tslib"	"production"	"Microsoft Corp."	"Apache-2.0"		"1.7.1"	"@kaltura-ng/kaltura-common, @kaltura-ng/kaltura-primeng-ui, @kaltura-ng/kaltura-client, @kaltura-ng/kaltura-ui"	"https://github.com/Microsoft/tslib"
"tslint"	"development"		"Apache-2.0"		"4.3.1"	"@kaltura-ng/kaltura-common, @kaltura-ng/kaltura-primeng-ui, @kaltura-ng/kaltura-client, @kaltura-ng/kaltura-ui"	"https://github.com/palantir/tslint"
"typescript"	"production"	"Microsoft Corp."	"Apache-2.0"		"2.4.0"	"@kaltura-ng/kaltura-common, @kaltura-ng/kaltura-primeng-ui, @kaltura-ng/kaltura-client, @kaltura-ng/kaltura-ui"	"https://github.com/Microsoft/TypeScript"